"country_code","gender","covid","mean_weekly_contribs","sd_weekly_contribs"
"TR","female",1,1.1020224140152,5.28415928767225
"TR","male",-1,1.77486121872778,7.31331113930643
"TR","male",1,2.15940071582238,8.22626668140932
"TW","female",-1,2.04922001075847,8.16328507574496
"TW","female",1,1.73607580309683,7.80599539857265
"TW","male",-1,2.89286178312502,9.94950515885496
"TW","male",1,2.92309555528642,9.94135115827557
"UA","female",-1,1.21577320972726,5.27239045200212
"UA","female",1,1.19504113345521,5.34814747209652
"UA","male",-1,2.1698197268193,7.88059212095619
"UA","male",1,2.30670376258612,8.18054525640188
"US","female",-1,2.14852959952334,7.89296704833384
"US","female",1,1.67785985226592,6.51656500322881
"US","male",-1,2.80806009646966,9.43109058301377
"US","male",1,2.93662554057492,9.77540756017735
"ZA","female",-1,2.33083912346339,9.02640839093159
"ZA","female",1,1.7210455159982,7.30287463856911
"ZA","male",-1,1.8250079541839,8.36951194950656
"ZA","male",1,2.12033439302955,8.69247695104641
