"country_code","date","week","time","time2","gender","female","diff","covid_deaths","covid_stringency","covid_school_closing","covid_workplace_closing","covid_stay_home_restrictions","school_cls","workpl_cls","stay_home","gdp_scaled","gii","gii_scaled","age_at_birth","diff_firstbirth","dev_age_mean_female","dev_age_mean_male","dev_mostly_remote_share_female","dev_mostly_remote_share_male","dev_dependents_share","dev_dependents_share_female","dev_dependents_share_male","dev_hobby_share_female","dev_hobby_share_male","dev_prof_share_female","dev_prof_share_male"
"AR",2020-03-09,1,0.05,0.0025,"female",1,0.18372543760274,6.48929266709929e-05,0.1111,0,0,0,0,0,0,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-03-16,2,0.1,0.01,"female",1,-0.1313075093593,6.48929266709929e-05,0.210314285714286,0,0,0,0,0,0,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-03-23,3,0.15,0.0225,"female",1,0.298151035454011,0.000129785853341986,0.666685714285714,3,3,3,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-03-30,4,0.2,0.04,"female",1,-0.203175523587,0.00123296560674886,1,3,3,3,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-06,5,0.25,0.0625,"female",1,-0.0562826367678799,0.00162232316677482,1,3,3,3,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-13,6,0.3,0.09,"female",1,0.79091610053328,0.00317975340687865,1,3,3,3,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-20,7,0.35,0.1225,"female",1,1.1758105457158,0.00253082414016872,1,3,3,3,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-27,8,0.4,0.16,"female",1,-0.41679441141743,0.00395846852693056,0.997357142857143,3,3,3,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-05-04,9,0.45,0.2025,"female",1,-0.04695126859548,0.00408825438027255,0.8889,3,3,2,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-05-11,10,0.5,0.25,"female",1,0.0133587774105,0.00350421804023361,0.8889,3,3,2,1,1,1,-0.736076013441212,0.354,0.829485152780605,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
