"country_code","gender","date","actual","pred"
"AR","female",2016-02-15,2.75925925925926,2.45663333022259
"AR","female",2016-02-22,1.98148148148148,2.28383610605557
"AR","female",2016-02-29,1.53571428571429,2.05893113149341
"AR","female",2016-03-07,2.66071428571429,2.19161947246975
"AR","female",2016-03-14,2.55357142857143,2.53235476782744
"AR","female",2016-03-21,1.19298245614035,2.1914345054745
"AR","female",2016-03-28,2.27586206896552,2.35882028290007
"AR","female",2016-04-04,2.74137931034483,2.27095102466443
"AR","female",2016-04-11,1.86206896551724,2.06982399670291
"AR","female",2016-04-18,1.55172413793103,2.16825115656748
"AR","female",2016-04-25,2.18965517241379,2.48796374082161
"AR","female",2016-05-02,2.44827586206897,2.18422632838239
"AR","female",2016-05-09,1.93103448275862,2.33946291363143
"AR","female",2016-05-16,NA,2.35635004329117
"AR","female",2016-05-23,2.89830508474576,2.12060414701777
"AR","female",2016-05-30,1.96666666666667,1.88717485835535
"AR","female",2016-06-06,2.3,2.04626901476823
"AR","female",2016-06-13,1.13333333333333,1.83732900253965
"AR","female",2016-06-20,0.983606557377049,1.56741164131758
"AR","female",2016-06-27,1.64516129032258,1.58202377180596
"AR","female",2016-07-04,1.87096774193548,1.55941304070997
"AR","female",2016-07-11,2.04838709677419,2.10625594516509
"AR","female",2016-07-18,1.58730158730159,1.6247616340612
"AR","female",2016-07-25,1.765625,1.68516298839406
"AR","female",2016-08-01,2.3125,1.99141063363062
"AR","female",2016-08-08,1.96875,2.02028827304998
"AR","female",2016-08-15,1.78125,1.71962797783305
"AR","female",2016-08-22,1.53125,1.8173409181951
"AR","female",2016-08-29,1.70769230769231,1.65129294401367
"AR","female",2016-09-05,1.46969696969697,1.52072123130173
"AR","female",2016-09-12,1.51515151515152,1.58384352381465
"AR","female",2016-09-19,1.07462686567164,1.61022432055211
"AR","female",2016-09-26,1.29411764705882,1.47374166171638
"AR","female",2016-10-03,1.27941176470588,1.30215505131817
"AR","female",2016-10-10,1.19117647058824,1.58467667233231
"AR","female",2016-10-17,0.797101449275362,0.946070758032792
"AR","female",2016-10-24,0.471428571428571,0.857677107551248
"AR","female",2016-10-31,0.542857142857143,0.879952018717003
"AR","female",2016-11-07,0.614285714285714,1.1163720737378
"AR","female",2016-11-14,0.5,0.828762505623869
"AR","female",2016-11-21,1.17142857142857,0.966559947258873
"AR","female",2016-11-28,0.285714285714286,0.6493397876449
